Method,Dimension,Lambda,ARL,h,ARL_observed
ssDMEWMC,3,0.6000000000000001,2000,6.0039144016,2221.9
ssDMEWMC,3,0.7000000000000001,100,5.511667576,120.2
ssDMEWMC,3,0.7000000000000001,200,5.9251567048,225.7
ssDMEWMC,3,0.7000000000000001,500,6.6726483654,477.4
ssDMEWMC,3,0.7000000000000001,1000,7.5858667151,1051.3
ssDMEWMC,3,0.7000000000000001,2000,7.8879455415,1808.5
ssDMEWMC,3,0.8,100,7.3037604822,92.2
ssDMEWMC,3,0.8,200,8.5733595211,239.9
ssDMEWMC,3,0.8,500,9.3270292059,382.0
ssDMEWMC,3,0.8,1000,10.4303513373,1108.7
ssDMEWMC,3,0.8,2000,11.1996978461,1994.3
ssDMEWMC,3,0.9,100,10.8771520929,93.5
ssDMEWMC,3,0.9,200,12.0602415356,233.0
ssDMEWMC,3,0.9,500,13.3362807568,525.3
ssDMEWMC,3,0.9,1000,14.528377244,874.5
ssDMEWMC,3,0.9,2000,15.9818787189,2107.6
ssDMEWMC,3,0.9500000000000001,100,13.8881571074,105.3
ssDMEWMC,3,0.9500000000000001,200,15.0538937525,234.6
ssDMEWMC,3,0.9500000000000001,500,16.4532073807,437.5
ssDMEWMC,3,0.9500000000000001,1000,17.6947999204,1033.0
ssDMEWMC,3,0.9500000000000001,2000,19.8251366411,2022.7
ssDMEWMC,4,0.05,100,0.1732212324,98.2
ssDMEWMC,4,0.05,200,0.1985730641,205.5
ssDMEWMC,4,0.05,500,0.23293603400000001,435.7
ssDMEWMC,4,0.05,1000,0.2868254105,930.8
ssDMEWMC,4,0.05,2000,0.3003825526,1497.0
ssDMEWMC,4,0.1,100,0.4071539588,105.6
ssDMEWMC,4,0.1,200,0.43057063630000003,200.7
ssDMEWMC,4,0.1,500,0.6067570365,492.7
ssDMEWMC,4,0.1,1000,0.6437646734,974.9
ssDMEWMC,4,0.1,2000,0.6756439511,2045.2
ssDMEWMC,4,0.2,100,0.9680725865,102.5
ssDMEWMC,4,0.2,200,1.1623280313,201.7
ssDMEWMC,4,0.2,500,1.3968975529,586.6
ssDMEWMC,4,0.2,1000,1.4987834425,886.7
ssDMEWMC,4,0.2,2000,1.6302707906,2018.9
ssDMEWMC,4,0.30000000000000004,100,1.7213689149,82.9
ssDMEWMC,4,0.30000000000000004,200,2.0026828617,184.5
ssDMEWMC,4,0.30000000000000004,500,2.3600662983,495.5
ssDMEWMC,4,0.30000000000000004,1000,2.4494999173,1041.6
ssDMEWMC,4,0.30000000000000004,2000,2.6975878001,1969.4
ssDMEWMC,4,0.4,100,2.6975808267,120.2
ssDMEWMC,4,0.4,200,3.028107053,185.9
ssDMEWMC,4,0.4,500,3.3992092095,552.9
ssDMEWMC,4,0.4,1000,3.6412936306,982.4
ssDMEWMC,4,0.4,2000,4.0236241749,1984.4
ssDMEWMC,4,0.5,100,3.9263395144,113.1
ssDMEWMC,4,0.5,200,4.2522238268,185.6
ssDMEWMC,4,0.5,500,4.9711004506,504.9
ssDMEWMC,4,0.5,1000,5.2758239115,1051.1
ssDMEWMC,4,0.5,2000,5.7662362318,2129.4
ssDMEWMC,4,0.6000000000000001,100,5.9487989214,106.7
ssDMEWMC,4,0.6000000000000001,200,6.1523158819,202.9
ssDMEWMC,4,0.6000000000000001,500,7.0974637876,509.8
ssDMEWMC,4,0.6000000000000001,1000,7.4559928664,849.2
ssDMEWMC,4,0.6000000000000001,2000,8.0265603979,2014.0
ssDMEWMC,4,0.7000000000000001,100,8.2759579825,85.2
ssDMEWMC,4,0.7000000000000001,200,8.7671679376,227.1
ssDMEWMC,4,0.7000000000000001,500,9.8354904522,585.0
ssDMEWMC,4,0.7000000000000001,1000,10.6162039463,996.8
ssDMEWMC,4,0.7000000000000001,2000,11.4383521889,2156.3
ssDMEWMC,4,0.8,100,11.7315752172,97.2
ssDMEWMC,4,0.8,200,12.3292079928,210.6
ssDMEWMC,4,0.8,500,13.4957973084,507.0
ssDMEWMC,4,0.8,1000,14.4410893215,1058.3
ssDMEWMC,4,0.8,2000,16.2143381387,2454.1
ssDMEWMC,4,0.9,100,17.0012538312,95.7
ssDMEWMC,4,0.9,200,17.8946304261,230.3
ssDMEWMC,4,0.9,500,19.2550311368,507.9
ssDMEWMC,4,0.9,1000,20.5194393696,1065.6
