,Method,Dimension,Lambda,ARL,h,
582,MEWMA,20,0.6,500,44.54647948,
583,MEWMA,20,0.6,1000,47.84064233,
584,MEWMA,20,0.6,2000,51.07524222,
585,MEWMA,20,0.7,100,36.38675657,
586,MEWMA,20,0.7,200,39.955,
587,MEWMA,20,0.7,500,44.59970108,
588,MEWMA,20,0.7,1000,47.89779961,
589,MEWMA,20,0.7,2000,51.13626401,
590,MEWMA,20,0.8,100,36.43017752,
591,MEWMA,20,0.8,200,40.0038,
592,MEWMA,20,0.8,500,44.65292268,
593,MEWMA,20,0.8,1000,47.95495689,
594,MEWMA,20,0.8,2000,51.19728581,
595,MEWMA,20,0.9,100,36.45912482,
596,MEWMA,20,0.9,200,40.0526,
597,MEWMA,20,0.9,500,44.68840375,
598,MEWMA,20,0.9,1000,47.99306174,
599,MEWMA,20,0.9,2000,51.237967,
600,MEWMA,20,0.95,100,36.47359847,
601,MEWMA,20,0.95,200,40.077,
602,MEWMA,20,0.95,500,44.70614428,
603,MEWMA,20,0.95,1000,48.01211417,
604,MEWMA,20,0.95,2000,51.2583076,
605,MEWMA,25,0.05,100,39.5158,
606,MEWMA,25,0.05,200,43.05746,
607,MEWMA,25,0.05,500,47.61782,
608,MEWMA,25,0.05,1000,50.90328,
609,MEWMA,25,0.05,2000,54.04234,
610,MEWMA,25,0.1,100,41.94116,
611,MEWMA,25,0.1,200,45.4267,
612,MEWMA,25,0.1,500,49.78332,
613,MEWMA,25,0.1,1000,52.8992,
614,MEWMA,25,0.1,2000,55.84916,
615,MEWMA,25,0.2,100,43.94074,
616,MEWMA,25,0.2,200,47.24694,
617,MEWMA,25,0.2,500,51.34492,
618,MEWMA,25,0.2,1000,54.26926,
619,MEWMA,25,0.2,2000,57.0777,
620,MEWMA,25,0.3,100,43.47363465,
621,MEWMA,25,0.3,200,47.911596,
622,MEWMA,25,0.3,500,53.28617587,
623,MEWMA,25,0.3,1000,57.2266296,
624,MEWMA,25,0.3,2000,61.09583454,
625,MEWMA,25,0.4,100,43.95039668,
626,MEWMA,25,0.4,200,48.343232,
627,MEWMA,25,0.4,500,53.87054905,
628,MEWMA,25,0.4,1000,57.85421652,
629,MEWMA,25,0.4,2000,61.76585385,
630,MEWMA,25,0.5,100,44.19760663,
631,MEWMA,25,0.5,200,48.566492,
632,MEWMA,25,0.5,500,54.17355736,
633,MEWMA,25,0.5,1000,58.17963196,
634,MEWMA,25,0.5,2000,62.11327127,
635,MEWMA,25,0.6,100,44.33886946,
636,MEWMA,25,0.6,200,48.685564,
637,MEWMA,25,0.6,500,54.34670496,
638,MEWMA,25,0.6,1000,58.36558364,
639,MEWMA,25,0.6,2000,62.31179551,
640,MEWMA,25,0.7,100,44.39184302,
641,MEWMA,25,0.7,200,48.7451,
642,MEWMA,25,0.7,500,54.41163532,
643,MEWMA,25,0.7,1000,58.43531552,
644,MEWMA,25,0.7,2000,62.3862421,
645,MEWMA,25,0.8,100,44.44481658,
646,MEWMA,25,0.8,200,48.804636,
647,MEWMA,25,0.8,500,54.47656567,
648,MEWMA,25,0.8,1000,58.5050474,
649,MEWMA,25,0.8,2000,62.46068869,
650,MEWMA,25,0.9,100,44.48013228,
651,MEWMA,25,0.9,200,48.864172,
652,MEWMA,25,0.9,500,54.51985257,
653,MEWMA,25,0.9,1000,58.55153532,
654,MEWMA,25,0.9,2000,62.51031975,
655,MEWMA,25,0.95,100,44.49779013,
656,MEWMA,25,0.95,200,48.89394,
657,MEWMA,25,0.95,500,54.54149602,
658,MEWMA,25,0.95,1000,58.57477928,
659,MEWMA,25,0.95,2000,62.53513528,
660,MEWMA,50,0.05,100,48.209276,
661,MEWMA,50,0.05,200,52.5301012,
662,MEWMA,50,0.05,500,58.0937404,
663,MEWMA,50,0.05,1000,62.1020016,
664,MEWMA,50,0.05,2000,65.9316548,
665,MEWMA,50,0.1,100,51.1682152,
666,MEWMA,50,0.1,200,55.420574,
667,MEWMA,50,0.1,500,60.7356504,
668,MEWMA,50,0.1,1000,64.537024,
669,MEWMA,50,0.1,2000,68.1359752,
670,MEWMA,50,0.2,100,53.6077028,
671,MEWMA,50,0.2,200,57.6412668,
672,MEWMA,50,0.2,500,62.6408024,
673,MEWMA,50,0.2,1000,66.2084972,
674,MEWMA,50,0.2,2000,69.634794,
675,MEWMA,50,0.3,100,53.03783427,
676,MEWMA,50,0.3,200,58.45214712,
677,MEWMA,50,0.3,500,65.00913457,
678,MEWMA,50,0.3,1000,69.81648811,
679,MEWMA,50,0.3,2000,74.53691814,
680,MEWMA,50,0.4,100,53.61948396,
681,MEWMA,50,0.4,200,58.97874304,
682,MEWMA,50,0.4,500,65.72206984,
683,MEWMA,50,0.4,1000,70.58214416,
684,MEWMA,50,0.4,2000,75.3543417,
685,MEWMA,50,0.5,100,53.92108009,
686,MEWMA,50,0.5,200,59.25112024,
687,MEWMA,50,0.5,500,66.09173998,
688,MEWMA,50,0.5,1000,70.979151,
689,MEWMA,50,0.5,2000,75.77819095,
690,MEWMA,50,0.6,100,54.09342074,
691,MEWMA,50,0.6,200,59.39638808,
692,MEWMA,50,0.6,500,66.30298006,
693,MEWMA,50,0.6,1000,71.20601205,
694,MEWMA,50,0.6,2000,76.02039052,
695,MEWMA,50,0.7,100,54.15804848,
696,MEWMA,50,0.7,200,59.469022,
697,MEWMA,50,0.7,500,66.38219509,
698,MEWMA,50,0.7,1000,71.29108494,
699,MEWMA,50,0.7,2000,76.11121536,
700,MEWMA,50,0.8,100,54.22267622,
701,MEWMA,50,0.8,200,59.54165592,
702,MEWMA,50,0.8,500,66.46141012,
703,MEWMA,50,0.8,1000,71.37615783,
704,MEWMA,50,0.8,2000,76.2020402,
705,MEWMA,50,0.9,100,54.26576138,
706,MEWMA,50,0.9,200,59.61428984,
707,MEWMA,50,0.9,500,66.51422014,
708,MEWMA,50,0.9,1000,71.43287309,
709,MEWMA,50,0.9,2000,76.26259009,
710,MEWMA,50,0.95,100,54.28730396,
711,MEWMA,50,0.95,200,59.6506068,
712,MEWMA,50,0.95,500,66.54062515,
713,MEWMA,50,0.95,1000,71.46123073,
714,MEWMA,50,0.95,2000,76.29286504,
715,DMEWMA,2,0.05,100,6.242,
716,DMEWMA,2,0.05,200,7.35,
717,DMEWMA,2,0.05,500,9.729,
718,DMEWMA,2,0.05,1000,11.308,
719,DMEWMA,2,0.05,2000,12.878,
720,DMEWMA,2,0.1,100,7.262,
721,DMEWMA,2,0.1,200,8.64,
722,DMEWMA,2,0.1,500,10.827,
723,DMEWMA,2,0.1,1000,12.371,
724,DMEWMA,2,0.1,2000,13.882,
725,DMEWMA,2,0.2,100,8.211,
726,DMEWMA,2,0.2,200,9.65,
727,DMEWMA,2,0.2,500,11.688,
728,DMEWMA,2,0.2,1000,13.174,
729,DMEWMA,2,0.2,2000,14.644,
730,DMEWMA,2,0.3,100,8.576878756,
731,DMEWMA,2,0.3,200,10.08,
732,DMEWMA,2,0.3,500,12.20881244,
733,DMEWMA,2,0.3,1000,13.76102798,
734,DMEWMA,2,0.3,2000,15.29653057,
735,DMEWMA,2,0.4,100,8.772581347,
736,DMEWMA,2,0.4,200,10.31,
737,DMEWMA,2,0.4,500,12.48738653,
738,DMEWMA,2,0.4,1000,14.07501969,
739,DMEWMA,2,0.4,2000,15.64555855,
740,DMEWMA,2,0.5,100,8.883195855,
741,DMEWMA,2,0.5,200,10.44,
742,DMEWMA,2,0.5,500,12.64484145,
743,DMEWMA,2,0.5,1000,14.25249326,
744,DMEWMA,2,0.5,2000,15.84283523,
745,DMEWMA,2,0.6,100,8.951266321,
746,DMEWMA,2,0.6,200,10.52,
747,DMEWMA,2,0.6,500,12.74173679,
748,DMEWMA,2,0.6,1000,14.36170777,
749,DMEWMA,2,0.6,2000,15.96423627,
750,DMEWMA,2,0.7,100,8.976792746,
751,DMEWMA,2,0.7,200,10.55,
752,DMEWMA,2,0.7,500,12.77807254,
753,DMEWMA,2,0.7,1000,14.40266321,
754,DMEWMA,2,0.7,2000,16.00976166,
755,DMEWMA,2,0.8,100,9.002319171,
756,DMEWMA,2,0.8,200,10.58,
757,DMEWMA,2,0.8,500,12.81440829,
758,DMEWMA,2,0.8,1000,14.44361865,
759,DMEWMA,2,0.8,2000,16.05528705,
760,DMEWMA,2,0.9,100,9.019336788,
761,DMEWMA,2,0.9,200,10.6,
762,DMEWMA,2,0.9,500,12.83863212,
763,DMEWMA,2,0.9,1000,14.47092228,
764,DMEWMA,2,0.9,2000,16.08563731,
765,DMEWMA,2,0.95,100,9.027845596,
766,DMEWMA,2,0.95,200,10.61,
767,DMEWMA,2,0.95,500,12.85074404,
768,DMEWMA,2,0.95,1000,14.48457409,
769,DMEWMA,2,0.95,2000,16.10081244,
770,DMEWMA,3,0.05,100,8.152,
771,DMEWMA,3,0.05,200,9.773,
772,DMEWMA,3,0.05,500,11.997,
773,DMEWMA,3,0.05,1000,13.68,
774,DMEWMA,3,0.05,2000,15.353,
775,DMEWMA,3,0.1,100,9.275,
776,DMEWMA,3,0.1,200,10.956,
777,DMEWMA,3,0.1,500,13.165,
778,DMEWMA,3,0.1,1000,14.805,
779,DMEWMA,3,0.1,2000,16.41,
780,DMEWMA,3,0.2,100,10.924,
781,DMEWMA,3,0.2,200,11.93,
782,DMEWMA,3,0.2,500,14.055,
783,DMEWMA,3,0.2,1000,15.632,
784,DMEWMA,3,0.2,2000,17.184,
785,DMEWMA,3,0.3,100,10.72109845,
786,DMEWMA,3,0.3,200,12.6,
787,DMEWMA,3,0.3,500,15.26101554,
788,DMEWMA,3,0.3,1000,17.20128497,
789,DMEWMA,3,0.3,2000,19.12066321,
790,DMEWMA,3,0.4,100,10.96572668,
791,DMEWMA,3,0.4,200,12.8875,
792,DMEWMA,3,0.4,500,15.60923316,
793,DMEWMA,3,0.4,1000,17.59377461,
794,DMEWMA,3,0.4,2000,19.55694819,
795,DMEWMA,3,0.5,100,11.10399482,
796,DMEWMA,3,0.5,200,13.05,
797,DMEWMA,3,0.5,500,15.80605181,
798,DMEWMA,3,0.5,1000,17.81561658,
799,DMEWMA,3,0.5,2000,19.80354404,
800,DMEWMA,3,0.6,100,11.1890829,
801,DMEWMA,3,0.6,200,13.15,
802,DMEWMA,3,0.6,500,15.92717098,
803,DMEWMA,3,0.6,1000,17.95213472,
804,DMEWMA,3,0.6,2000,19.95529534,
805,DMEWMA,3,0.7,100,11.22099093,
806,DMEWMA,3,0.7,200,13.1875,
807,DMEWMA,3,0.7,500,15.97259067,
808,DMEWMA,3,0.7,1000,18.00332902,
809,DMEWMA,3,0.7,2000,20.01220207,
810,DMEWMA,3,0.8,100,11.25289896,
811,DMEWMA,3,0.8,200,13.225,
812,DMEWMA,3,0.8,500,16.01801036,
813,DMEWMA,3,0.8,1000,18.05452332,
814,DMEWMA,3,0.8,2000,20.06910881,
815,DMEWMA,3,0.9,100,11.27417098,
816,DMEWMA,3,0.9,200,13.25,
817,DMEWMA,3,0.9,500,16.04829016,
818,DMEWMA,3,0.9,1000,18.08865285,
819,DMEWMA,3,0.9,2000,20.10704663,
820,DMEWMA,3,0.95,100,11.28480699,
821,DMEWMA,3,0.95,200,13.2625,
822,DMEWMA,3,0.95,500,16.06343005,
823,DMEWMA,3,0.95,1000,18.10571762,
824,DMEWMA,3,0.95,2000,20.12601554,
825,DMEWMA,4,0.05,100,9.895,
826,DMEWMA,4,0.05,200,11.22,
827,DMEWMA,4,0.05,500,14.024,
828,DMEWMA,4,0.05,1000,15.81,
829,DMEWMA,4,0.05,2000,17.563,
830,DMEWMA,4,0.1,100,11.119,
831,DMEWMA,4,0.1,200,12.73,
832,DMEWMA,4,0.1,500,15.246,
833,DMEWMA,4,0.1,1000,16.975,
834,DMEWMA,4,0.1,2000,18.659,
835,DMEWMA,4,0.2,100,12.194,
836,DMEWMA,4,0.2,200,13.87,
837,DMEWMA,4,0.2,500,16.177,
838,DMEWMA,4,0.2,1000,17.829,
839,DMEWMA,4,0.2,2000,19.452,
840,DMEWMA,4,0.3,100,12.60720692,
841,DMEWMA,4,0.3,200,14.34,
842,DMEWMA,4,0.3,500,16.7251752,
843,DMEWMA,4,0.3,1000,18.43315501,
844,DMEWMA,4,0.3,2000,20.11115213,
845,DMEWMA,4,0.4,100,12.8182062,
846,DMEWMA,4,0.4,200,14.58,
847,DMEWMA,4,0.4,500,17.00509445,
848,DMEWMA,4,0.4,1000,18.7416597,
849,DMEWMA,4,0.4,2000,20.44774045,
850,DMEWMA,4,0.5,100,12.93249748,
851,DMEWMA,4,0.5,200,14.71,
852,DMEWMA,4,0.5,500,17.15671738,
853,DMEWMA,4,0.5,1000,18.9087664,
854,DMEWMA,4,0.5,2000,20.63005912,
855,DMEWMA,4,0.6,100,12.99403893,
856,DMEWMA,4,0.6,200,14.78,
857,DMEWMA,4,0.6,500,17.23836049,
858,DMEWMA,4,0.6,1000,18.99874694,
859,DMEWMA,4,0.6,2000,20.72823071,
860,DMEWMA,4,0.7,100,13.02920548,
861,DMEWMA,4,0.7,200,14.82,
862,DMEWMA,4,0.7,500,17.2850137,
863,DMEWMA,4,0.7,1000,19.05016438,
864,DMEWMA,4,0.7,2000,20.78432877,
865,DMEWMA,4,0.8,100,13.05558039,
866,DMEWMA,4,0.8,200,14.85,
867,DMEWMA,4,0.8,500,17.3200036,
868,DMEWMA,4,0.8,1000,19.08872747,
869,DMEWMA,4,0.8,2000,20.82640231,
870,DMEWMA,4,0.9,100,13.07316366,
871,DMEWMA,4,0.9,200,14.87,
872,DMEWMA,4,0.9,500,17.34333021,
873,DMEWMA,4,0.9,1000,19.11443619,
874,DMEWMA,4,0.9,2000,20.85445133,
875,DMEWMA,4,0.95,100,13.0819553,
876,DMEWMA,4,0.95,200,14.88,
877,DMEWMA,4,0.95,500,17.35499351,
878,DMEWMA,4,0.95,1000,19.12729056,
879,DMEWMA,4,0.95,2000,20.86847585,
880,DMEWMA,5,0.05,100,11.55,
881,DMEWMA,5,0.05,200,13.412,
882,DMEWMA,5,0.05,500,15.92,
883,DMEWMA,5,0.05,1000,17.792,
884,DMEWMA,5,0.05,2000,19.623,
885,DMEWMA,5,0.1,100,12.84,
886,DMEWMA,5,0.1,200,14.736,
887,DMEWMA,5,0.1,500,17.186,
888,DMEWMA,5,0.1,1000,18.996,
889,DMEWMA,5,0.1,2000,20.755,
890,DMEWMA,5,0.2,100,13.982,
891,DMEWMA,5,0.2,200,15.811,
892,DMEWMA,5,0.2,500,18.154,
893,DMEWMA,5,0.2,1000,19.878,
894,DMEWMA,5,0.2,2000,21.56,
895,DMEWMA,5,0.3,100,14.24614382,
896,DMEWMA,5,0.3,200,16.2042,
897,DMEWMA,5,0.3,500,18.89944797,
898,DMEWMA,5,0.3,1000,20.82946516,
899,DMEWMA,5,0.3,2000,22.7256019,
900,DMEWMA,5,0.4,100,14.48457301,
901,DMEWMA,5,0.4,200,16.4754,
902,DMEWMA,5,0.4,500,19.21575673,
903,DMEWMA,5,0.4,1000,21.17807546,
904,DMEWMA,5,0.4,2000,23.10594671,
905,DMEWMA,5,0.5,100,14.61372215,
906,DMEWMA,5,0.5,200,16.6223,
907,DMEWMA,5,0.5,500,19.38709063,
908,DMEWMA,5,0.5,1000,21.36690603,
909,DMEWMA,5,0.5,2000,23.31196681,
910,DMEWMA,5,0.6,100,14.68326399,
911,DMEWMA,5,0.6,200,16.7014,
912,DMEWMA,5,0.6,500,19.47934735,
913,DMEWMA,5,0.6,1000,21.46858404,
914,DMEWMA,5,0.6,2000,23.42290071,
915,DMEWMA,5,0.7,100,14.72300219,
916,DMEWMA,5,0.7,200,16.7466,
917,DMEWMA,5,0.7,500,19.53206548,
918,DMEWMA,5,0.7,1000,21.52668575,
919,DMEWMA,5,0.7,2000,23.48629151,
920,DMEWMA,5,0.8,100,14.75280584,
921,DMEWMA,5,0.8,200,16.7805,
922,DMEWMA,5,0.8,500,19.57160407,
923,DMEWMA,5,0.8,1000,21.57026204,
924,DMEWMA,5,0.8,2000,23.53383461,
925,DMEWMA,5,0.9,100,14.77267494,
926,DMEWMA,5,0.9,200,16.8031,
927,DMEWMA,5,0.9,500,19.59796314,
928,DMEWMA,5,0.9,1000,21.5993129,
929,DMEWMA,5,0.9,2000,23.56553001,
930,DMEWMA,5,0.95,100,14.78260949,
931,DMEWMA,5,0.95,200,16.8144,
932,DMEWMA,5,0.95,500,19.61114267,
933,DMEWMA,5,0.95,1000,21.61383833,
934,DMEWMA,5,0.95,2000,23.58137771,
935,DMEWMA,6,0.05,100,13.102,
936,DMEWMA,6,0.05,200,14.6,
937,DMEWMA,6,0.05,500,18.154,
938,DMEWMA,6,0.05,1000,19.878,
939,DMEWMA,6,0.05,2000,21.56,
940,DMEWMA,6,0.1,100,14.459,
941,DMEWMA,6,0.1,200,16.27,
942,DMEWMA,6,0.1,500,18.999,
943,DMEWMA,6,0.1,1000,20.867,
944,DMEWMA,6,0.1,2000,22.678,
945,DMEWMA,6,0.2,100,15.636,
946,DMEWMA,6,0.2,200,17.51,
947,DMEWMA,6,0.2,500,19.982,
948,DMEWMA,6,0.2,1000,21.769,
949,DMEWMA,6,0.2,2000,23.5,
950,DMEWMA,6,0.3,100,16.08248772,
951,DMEWMA,6,0.3,200,18.01,
952,DMEWMA,6,0.3,500,20.55258824,
953,DMEWMA,6,0.3,1000,22.39061622,
954,DMEWMA,6,0.3,2000,24.17104512,
955,DMEWMA,6,0.4,100,16.30573158,
956,DMEWMA,6,0.4,200,18.26,
957,DMEWMA,6,0.4,500,20.83788235,
958,DMEWMA,6,0.4,1000,22.70142433,
959,DMEWMA,6,0.4,2000,24.50656768,
960,DMEWMA,6,0.5,100,16.42181839,
961,DMEWMA,6,0.5,200,18.39,
962,DMEWMA,6,0.5,500,20.98623529,
963,DMEWMA,6,0.5,1000,22.86304455,
964,DMEWMA,6,0.5,2000,24.68103941,
965,DMEWMA,6,0.6,100,16.49325642,
966,DMEWMA,6,0.6,200,18.47,
967,DMEWMA,6,0.6,500,21.07752941,
968,DMEWMA,6,0.6,1000,22.96250314,
969,DMEWMA,6,0.6,2000,24.78840662,
970,DMEWMA,6,0.7,100,16.52004569,
971,DMEWMA,6,0.7,200,18.5,
972,DMEWMA,6,0.7,500,21.11176471,
973,DMEWMA,6,0.7,1000,22.99980011,
974,DMEWMA,6,0.7,2000,24.82866933,
975,DMEWMA,6,0.8,100,16.55576471,
976,DMEWMA,6,0.8,200,18.54,
977,DMEWMA,6,0.8,500,21.15741176,
978,DMEWMA,6,0.8,1000,23.04952941,
979,DMEWMA,6,0.8,2000,24.88235294,
980,DMEWMA,6,0.9,100,16.57362421,
981,DMEWMA,6,0.9,200,18.56,
982,DMEWMA,6,0.9,500,21.18023529,
983,DMEWMA,6,0.9,1000,23.07439406,
984,DMEWMA,6,0.9,2000,24.90919475,
985,DMEWMA,6,0.95,100,16.59148372,
986,DMEWMA,6,0.95,200,18.58,
987,DMEWMA,6,0.95,500,21.20305882,
988,DMEWMA,6,0.95,1000,23.09925871,
989,DMEWMA,6,0.95,2000,24.93603655,
990,DMEWMA,7,0.05,100,14.628,
991,DMEWMA,7,0.05,200,16.68,
992,DMEWMA,7,0.05,500,19.409,
993,DMEWMA,7,0.05,1000,21.425,
994,DMEWMA,7,0.05,2000,23.378,
995,DMEWMA,7,0.1,100,16.044,
996,DMEWMA,7,0.1,200,18.114,
997,DMEWMA,7,0.1,500,20.762,
998,DMEWMA,7,0.1,1000,22.699,
999,DMEWMA,7,0.1,2000,24.574,
1000,DMEWMA,7,0.2,100,17.26,
1001,DMEWMA,7,0.2,200,19.254,
1002,DMEWMA,7,0.2,500,21.776,
1003,DMEWMA,7,0.2,1000,23.613,
1004,DMEWMA,7,0.2,2000,25.412,
1005,DMEWMA,7,0.3,100,17.52991162,
1006,DMEWMA,7,0.3,200,19.6309,
1007,DMEWMA,7,0.3,500,22.40232118,
1008,DMEWMA,7,0.3,1000,24.40577168,
1009,DMEWMA,7,0.3,2000,26.34643918,
1010,DMEWMA,7,0.4,100,17.77324742,
1011,DMEWMA,7,0.4,200,19.9034,
1012,DMEWMA,7,0.4,500,22.71329176,
1013,DMEWMA,7,0.4,1000,24.74455252,
1014,DMEWMA,7,0.4,2000,26.71215877,
1015,DMEWMA,7,0.5,100,17.89978204,
1016,DMEWMA,7,0.5,200,20.0451,
1017,DMEWMA,7,0.5,500,22.87499647,
1018,DMEWMA,7,0.5,1000,24.92071856,
1019,DMEWMA,7,0.5,2000,26.90233295,
1020,DMEWMA,7,0.6,100,17.9776495,
1021,DMEWMA,7,0.6,200,20.1323,
1022,DMEWMA,7,0.6,500,22.97450706,
1023,DMEWMA,7,0.6,1000,25.02912842,
1024,DMEWMA,7,0.6,2000,27.01936322,
1025,DMEWMA,7,0.7,100,18.0068498,
1026,DMEWMA,7,0.7,200,20.165,
1027,DMEWMA,7,0.7,500,23.01182353,
1028,DMEWMA,7,0.7,1000,25.06978212,
1029,DMEWMA,7,0.7,2000,27.06324957,
1030,DMEWMA,7,0.8,100,18.04578353,
1031,DMEWMA,7,0.8,200,20.2086,
1032,DMEWMA,7,0.8,500,23.06157882,
1033,DMEWMA,7,0.8,1000,25.12398706,
1034,DMEWMA,7,0.8,2000,27.12176471,
1035,DMEWMA,7,0.9,100,18.06525039,
1036,DMEWMA,7,0.9,200,20.2304,
1037,DMEWMA,7,0.9,500,23.08645647,
1038,DMEWMA,7,0.9,1000,25.15108953,
1039,DMEWMA,7,0.9,2000,27.15102227,
1040,DMEWMA,7,0.95,100,18.08471726,
1041,DMEWMA,7,0.95,200,20.2522,
1042,DMEWMA,7,0.95,500,23.11133412,
1043,DMEWMA,7,0.95,1000,25.17819199,
1044,DMEWMA,7,0.95,2000,27.18027984,
1045,DMEWMA,8,0.05,100,16.103,
1046,DMEWMA,8,0.05,200,18.257,
1047,DMEWMA,8,0.05,500,21.075,
1048,DMEWMA,8,0.05,1000,23.163,
1049,DMEWMA,8,0.05,2000,25.186,
1050,DMEWMA,8,0.1,100,17.581,
1051,DMEWMA,8,0.1,200,19.74,
1052,DMEWMA,8,0.1,500,21.075,
1053,DMEWMA,8,0.1,1000,23.163,
1054,DMEWMA,8,0.1,2000,25.186,
1055,DMEWMA,8,0.2,100,18.852,
1056,DMEWMA,8,0.2,200,20.905,
1057,DMEWMA,8,0.2,500,23.515,
1058,DMEWMA,8,0.2,1000,25.416,
1059,DMEWMA,8,0.2,2000,27.252,
1060,DMEWMA,8,0.3,100,18.75700543,
1061,DMEWMA,8,0.3,200,21.005063,
1062,DMEWMA,8,0.3,500,23.97048366,
1063,DMEWMA,8,0.3,1000,26.1141757,
1064,DMEWMA,8,0.3,2000,28.19068992,
1065,DMEWMA,8,0.4,100,19.01737474,
1066,DMEWMA,8,0.4,200,21.296638,
1067,DMEWMA,8,0.4,500,24.30322219,
1068,DMEWMA,8,0.4,1000,26.47667119,
1069,DMEWMA,8,0.4,2000,28.58200988,
1070,DMEWMA,8,0.5,100,19.15276679,
1071,DMEWMA,8,0.5,200,21.448257,
1072,DMEWMA,8,0.5,500,24.47624622,
1073,DMEWMA,8,0.5,1000,26.66516885,
1074,DMEWMA,8,0.5,2000,28.78549626,
1075,DMEWMA,8,0.6,100,19.23608497,
1076,DMEWMA,8,0.6,200,21.541561,
1077,DMEWMA,8,0.6,500,24.58272255,
1078,DMEWMA,8,0.6,1000,26.78116741,
1079,DMEWMA,8,0.6,2000,28.91071865,
1080,DMEWMA,8,0.7,100,19.26732929,
1081,DMEWMA,8,0.7,200,21.57655,
1082,DMEWMA,8,0.7,500,24.62265118,
1083,DMEWMA,8,0.7,1000,26.82466687,
1084,DMEWMA,8,0.7,2000,28.95767704,
1085,DMEWMA,8,0.8,100,19.30898838,
1086,DMEWMA,8,0.8,200,21.623202,
1087,DMEWMA,8,0.8,500,24.67588934,
1088,DMEWMA,8,0.8,1000,26.88266615,
1089,DMEWMA,8,0.8,2000,29.02028824,
1090,DMEWMA,8,0.9,100,19.32981792,
1091,DMEWMA,8,0.9,200,21.646528,
1092,DMEWMA,8,0.9,500,24.70250842,
1093,DMEWMA,8,0.9,1000,26.91166579,
1094,DMEWMA,8,0.9,2000,29.05159383,
1095,DMEWMA,8,0.95,100,19.35064747,
1096,DMEWMA,8,0.95,200,21.669854,
1097,DMEWMA,8,0.95,500,24.72912751,
1098,DMEWMA,8,0.95,1000,26.94066543,
1099,DMEWMA,8,0.95,2000,29.08289943,
1100,DMEWMA,9,0.05,100,17.573,
1101,DMEWMA,9,0.05,200,19.792,
1102,DMEWMA,9,0.05,500,22.712,
1103,DMEWMA,9,0.05,1000,24.849,
1104,DMEWMA,9,0.05,2000,26.927,
1105,DMEWMA,9,0.1,100,19.095,
1106,DMEWMA,9,0.1,200,21.317,
1107,DMEWMA,9,0.1,500,24.142,
1108,DMEWMA,9,0.1,1000,26.196,
1109,DMEWMA,9,0.1,2000,28.172,
1110,DMEWMA,9,0.2,100,20.394,
1111,DMEWMA,9,0.2,200,22.518,
1112,DMEWMA,9,0.2,500,25.208,
1113,DMEWMA,9,0.2,1000,27.154,
1114,DMEWMA,9,0.2,2000,29.04,
1115,DMEWMA,9,0.3,100,20.25756586,
1116,DMEWMA,9,0.3,200,22.68546804,
1117,DMEWMA,9,0.3,500,25.88812235,
1118,DMEWMA,9,0.3,1000,28.20330975,
1119,DMEWMA,9,0.3,2000,30.44594511,
1120,DMEWMA,9,0.4,100,20.53876472,
1121,DMEWMA,9,0.4,200,23.00036904,
1122,DMEWMA,9,0.4,500,26.24747996,
1123,DMEWMA,9,0.4,1000,28.59480489,
1124,DMEWMA,9,0.4,2000,30.86857067,
1125,DMEWMA,9,0.5,100,20.68498813,
1126,DMEWMA,9,0.5,200,23.16411756,
1127,DMEWMA,9,0.5,500,26.43434592,
1128,DMEWMA,9,0.5,1000,28.79838236,
1129,DMEWMA,9,0.5,2000,31.08833596,
1130,DMEWMA,9,0.6,100,20.77497177,
1131,DMEWMA,9,0.6,200,23.26488588,
1132,DMEWMA,9,0.6,500,26.54934036,
1133,DMEWMA,9,0.6,1000,28.92366081,
1134,DMEWMA,9,0.6,2000,31.22357614,
1135,DMEWMA,9,0.7,100,20.80871563,
1136,DMEWMA,9,0.7,200,23.302674,
1137,DMEWMA,9,0.7,500,26.59246327,
1138,DMEWMA,9,0.7,1000,28.97064022,
1139,DMEWMA,9,0.7,2000,31.27429121,
1140,DMEWMA,9,0.8,100,20.85370745,
1141,DMEWMA,9,0.8,200,23.35305816,
1142,DMEWMA,9,0.8,500,26.64996049,
1143,DMEWMA,9,0.8,1000,29.03327945,
1144,DMEWMA,9,0.8,2000,31.34191129,
1145,DMEWMA,9,0.9,100,20.87620336,
1146,DMEWMA,9,0.9,200,23.37825024,
1147,DMEWMA,9,0.9,500,26.6787091,
1148,DMEWMA,9,0.9,1000,29.06459906,
1149,DMEWMA,9,0.9,2000,31.37572134,
1150,DMEWMA,9,0.95,100,20.89869926,
1151,DMEWMA,9,0.95,200,23.40344232,
1152,DMEWMA,9,0.95,500,26.70745771,
1153,DMEWMA,9,0.95,1000,29.09591867,
1154,DMEWMA,9,0.95,2000,31.40953138,
1155,DMEWMA,10,0.05,100,19.032,
1156,DMEWMA,10,0.05,200,20.72,
1157,DMEWMA,10,0.05,500,24.363,
1158,DMEWMA,10,0.05,1000,26.565,
1159,DMEWMA,10,0.05,2000,28.696,
1160,DMEWMA,10,0.1,100,20.621,
1161,DMEWMA,10,0.1,200,22.67,
1162,DMEWMA,10,0.1,500,25.831,
1163,DMEWMA,10,0.1,1000,27.945,
1164,DMEWMA,10,0.1,2000,29.973,
1165,DMEWMA,10,0.2,100,21.966,
1166,DMEWMA,10,0.2,200,24.07,
1167,DMEWMA,10,0.2,500,26.924,
1168,DMEWMA,10,0.2,1000,28.915,
