,Method,Dimension,Lambda,ARL,h,
135,MEWMA,4,0.5,100,12.93249748,
136,MEWMA,4,0.5,200,14.71,1.008916324
137,MEWMA,4,0.5,500,17.15671738,
138,MEWMA,4,0.5,1000,18.9087664,
139,MEWMA,4,0.5,2000,20.63005912,
140,MEWMA,4,0.6,100,12.99403893,
141,MEWMA,4,0.6,200,14.78,1.004758668
142,MEWMA,4,0.6,500,17.23836049,
143,MEWMA,4,0.6,1000,18.99874694,
144,MEWMA,4,0.6,2000,20.72823071,
145,MEWMA,4,0.7,100,13.02920548,
146,MEWMA,4,0.7,200,14.82,1.00270636
147,MEWMA,4,0.7,500,17.2850137,
148,MEWMA,4,0.7,1000,19.05016438,
149,MEWMA,4,0.7,2000,20.78432877,
150,MEWMA,4,0.8,100,13.05558039,
151,MEWMA,4,0.8,200,14.85,1.002024291
152,MEWMA,4,0.8,500,17.3200036,
153,MEWMA,4,0.8,1000,19.08872747,
154,MEWMA,4,0.8,2000,20.82640231,
155,MEWMA,4,0.9,100,13.07316366,
156,MEWMA,4,0.9,200,14.87,1.001346801
157,MEWMA,4,0.9,500,17.34333021,
158,MEWMA,4,0.9,1000,19.11443619,
159,MEWMA,4,0.9,2000,20.85445133,
160,MEWMA,4,0.95,100,13.0819553,
161,MEWMA,4,0.95,200,14.88,1.000672495
162,MEWMA,4,0.95,500,17.35499351,
163,MEWMA,4,0.95,1000,19.12729056,
164,MEWMA,4,0.95,2000,20.86847585,
165,MEWMA,5,0.05,100,11.55,1.16725619
166,MEWMA,5,0.05,200,13.412,1.195365419
167,MEWMA,5,0.05,500,15.92,1.135196805
168,MEWMA,5,0.05,1000,17.792,1.125363694
169,MEWMA,5,0.05,2000,19.623,1.117292034
170,MEWMA,5,0.1,100,12.84,1.154780106
171,MEWMA,5,0.1,200,14.736,1.157580518
172,MEWMA,5,0.1,500,17.186,1.127246491
173,MEWMA,5,0.1,1000,18.996,1.119057437
174,MEWMA,5,0.1,2000,20.755,1.112331851
175,MEWMA,5,0.2,100,13.982,1.14662949
176,MEWMA,5,0.2,200,15.811,1.139942322
177,MEWMA,5,0.2,500,18.154,1.122210546
178,MEWMA,5,0.2,1000,19.878,1.114925122
179,MEWMA,5,0.2,2000,21.56,1.108369319
180,MEWMA,5,0.3,100,14.24614382,
181,MEWMA,5,0.3,200,16.2042,
182,MEWMA,5,0.3,500,18.89944797,
183,MEWMA,5,0.3,1000,20.82946516,
184,MEWMA,5,0.3,2000,22.7256019,
185,MEWMA,5,0.4,100,14.48457301,
186,MEWMA,5,0.4,200,16.4754,
187,MEWMA,5,0.4,500,19.21575673,
188,MEWMA,5,0.4,1000,21.17807546,
189,MEWMA,5,0.4,2000,23.10594671,
190,MEWMA,5,0.5,100,14.61372215,
191,MEWMA,5,0.5,200,16.6223,
192,MEWMA,5,0.5,500,19.38709063,
193,MEWMA,5,0.5,1000,21.36690603,
194,MEWMA,5,0.5,2000,23.31196681,
195,MEWMA,5,0.6,100,14.68326399,
196,MEWMA,5,0.6,200,16.7014,
197,MEWMA,5,0.6,500,19.47934735,
198,MEWMA,5,0.6,1000,21.46858404,
199,MEWMA,5,0.6,2000,23.42290071,
200,MEWMA,5,0.7,100,14.72300219,
201,MEWMA,5,0.7,200,16.7466,
202,MEWMA,5,0.7,500,19.53206548,
203,MEWMA,5,0.7,1000,21.52668575,
204,MEWMA,5,0.7,2000,23.48629151,
205,MEWMA,5,0.8,100,14.75280584,
206,MEWMA,5,0.8,200,16.7805,
207,MEWMA,5,0.8,500,19.57160407,
208,MEWMA,5,0.8,1000,21.57026204,
209,MEWMA,5,0.8,2000,23.53383461,
210,MEWMA,5,0.9,100,14.77267494,
211,MEWMA,5,0.9,200,16.8031,
212,MEWMA,5,0.9,500,19.59796314,
213,MEWMA,5,0.9,1000,21.5993129,
214,MEWMA,5,0.9,2000,23.56553001,
215,MEWMA,5,0.95,100,14.78260949,
216,MEWMA,5,0.95,200,16.8144,
