Method,Dimension,Lambda,ARL,h
MEWMA,50,0.7,500,66.38219509
MEWMA,50,0.7,1000,71.29108494
MEWMA,50,0.7,2000,76.11121536
MEWMA,50,0.8,100,54.22267622
MEWMA,50,0.8,200,59.54165592
MEWMA,50,0.8,500,66.46141012
MEWMA,50,0.8,1000,71.37615783
MEWMA,50,0.8,2000,76.2020402
MEWMA,50,0.9,100,54.26576138
MEWMA,50,0.9,200,59.61428984
MEWMA,50,0.9,500,66.51422014
MEWMA,50,0.9,1000,71.43287309
MEWMA,50,0.9,2000,76.26259009
MEWMA,50,0.95,100,54.28730396
MEWMA,50,0.95,200,59.6506068
MEWMA,50,0.95,500,66.54062515
MEWMA,50,0.95,1000,71.46123073
MEWMA,50,0.95,2000,76.29286504
DMEWMA,2,0.05,100,3.5425
DMEWMA,2,0.05,200,4.77925
DMEWMA,2,0.05,500,6.58446875
DMEWMA,2,0.05,1000,8.0658125
DMEWMA,2,0.05,2000,9.59675
DMEWMA,2,0.1,100,4.704382813
DMEWMA,2,0.1,200,6.094101563
DMEWMA,2,0.1,500,8.070164063
DMEWMA,2,0.1,1000,9.61709375
DMEWMA,2,0.1,2000,11.116375
DMEWMA,2,0.2,100,6.166078125
DMEWMA,2,0.2,200,7.66953125
DMEWMA,2,0.2,500,9.70753125
DMEWMA,2,0.2,1000,11.21989844
DMEWMA,2,0.2,2000,12.7455625
DMEWMA,2,0.3,100,7.138402194
DMEWMA,2,0.3,200,8.676679688
DMEWMA,2,0.3,500,10.68537494
DMEWMA,2,0.3,1000,12.19364517
DMEWMA,2,0.3,2000,13.66176495
DMEWMA,2,0.4,100,7.817503222
DMEWMA,2,0.4,200,9.325625
DMEWMA,2,0.4,500,11.35066778
DMEWMA,2,0.4,1000,12.81525407
DMEWMA,2,0.4,2000,14.28325386
DMEWMA,2,0.5,100,8.332414605
DMEWMA,2,0.5,200,9.84234375
DMEWMA,2,0.5,500,11.77765395
DMEWMA,2,0.5,1000,13.24761045
DMEWMA,2,0.5,2000,14.71490554
DMEWMA,2,0.6,100,8.664156946
DMEWMA,2,0.6,200,10.15671875
DMEWMA,2,0.6,500,12.11283054
DMEWMA,2,0.6,1000,13.57655152
DMEWMA,2,0.6,2000,14.98572065
DMEWMA,2,0.7,100,8.906480246
DMEWMA,2,0.7,200,10.37421875
DMEWMA,2,0.7,500,12.32104129
DMEWMA,2,0.7,1000,13.72297571
DMEWMA,2,0.7,2000,15.10155854
DMEWMA,2,0.8,100,9.049194171
DMEWMA,2,0.8,200,10.4940625
DMEWMA,2,0.8,500,12.40425204
DMEWMA,2,0.8,1000,13.7912749
DMEWMA,2,0.8,2000,15.1763808
DMEWMA,2,0.9,100,9.111133663
DMEWMA,2,0.9,200,10.54140625
DMEWMA,2,0.9,500,12.41675712
DMEWMA,2,0.9,1000,13.80685978
DMEWMA,2,0.9,2000,15.19208262
DMEWMA,2,0.95,100,9.119642471
DMEWMA,2,0.95,200,10.57289063
DMEWMA,2,0.95,500,12.40543154
DMEWMA,2,0.95,1000,13.82832409
DMEWMA,2,0.95,2000,15.195539
DMEWMA,3,0.05,100,4.970359375
DMEWMA,3,0.05,200,6.4214375
DMEWMA,3,0.05,500,8.519460938
DMEWMA,3,0.05,1000,10.12921875
DMEWMA,3,0.05,2000,11.80807813
DMEWMA,3,0.1,100,6.330664063
DMEWMA,3,0.1,200,7.964789063
DMEWMA,3,0.1,500,10.165
DMEWMA,3,0.1,1000,11.83722656
DMEWMA,3,0.1,2000,13.51253906
DMEWMA,3,0.2,100,8.00603125
DMEWMA,3,0.2,200,9.712226563
DMEWMA,3,0.2,500,11.95148438
DMEWMA,3,0.2,1000,13.5929375
DMEWMA,3,0.2,2000,13.51253906
DMEWMA,3,0.3,100,9.0453172
DMEWMA,3,0.3,200,10.76894531
DMEWMA,3,0.3,500,12.94656242
DMEWMA,3,0.3,1000,14.62608966
DMEWMA,3,0.3,2000,16.21441321
DMEWMA,3,0.4,100,9.81728918
DMEWMA,3,0.4,200,11.49882813
DMEWMA,3,0.4,500,13.66978004
DMEWMA,3,0.4,1000,15.30568867
DMEWMA,3,0.4,2000,16.858706
DMEWMA,3,0.5,100,10.35399482
DMEWMA,3,0.5,200,11.9953125
DMEWMA,3,0.5,500,14.15077837
DMEWMA,3,0.5,1000,15.74139783
DMEWMA,3,0.5,2000,17.27815342
DMEWMA,3,0.6,100,10.71837978
DMEWMA,3,0.6,200,12.36875
DMEWMA,3,0.6,500,14.46525692
DMEWMA,3,0.6,1000,15.99803316
DMEWMA,3,0.6,2000,17.53537347
DMEWMA,3,0.7,100,10.98270968
DMEWMA,3,0.7,200,12.60351563
DMEWMA,3,0.7,500,14.64251255
DMEWMA,3,0.7,1000,16.17520402
DMEWMA,3,0.7,2000,17.64794426
DMEWMA,3,0.8,100,11.13571146
DMEWMA,3,0.8,200,12.740625
DMEWMA,3,0.8,500,14.74652599
DMEWMA,3,0.8,1000,16.25862488
DMEWMA,3,0.8,2000,17.71949944
DMEWMA,3,0.9,100,11.23510848
DMEWMA,3,0.9,200,12.8125
DMEWMA,3,0.9,500,14.7973136
DMEWMA,3,0.9,1000,16.25466848
DMEWMA,3,0.9,2000,17.69298413
DMEWMA,3,0.95,100,11.24183824
DMEWMA,3,0.95,200,12.80546875
DMEWMA,3,0.95,500,14.82710193
DMEWMA,3,0.95,1000,16.24829575
DMEWMA,3,0.95,2000,17.70023429
DMEWMA,4,0.05,100,6.32078125
DMEWMA,4,0.05,200,7.965117188
DMEWMA,4,0.05,500,10.26228125
DMEWMA,4,0.05,1000,12.013125
DMEWMA,4,0.05,2000,13.78370313
DMEWMA,4,0.1,100,7.820171875
DMEWMA,4,0.1,200,9.668476563
DMEWMA,4,0.1,500,12.07607813
DMEWMA,4,0.1,1000,13.8109375
DMEWMA,4,0.1,2000,15.58282813
DMEWMA,4,0.2,100,9.6393125
DMEWMA,4,0.2,200,11.54089844
DMEWMA,4,0.2,500,13.9504375
DMEWMA,4,0.2,1000,15.67275
DMEWMA,4,0.2,2000,17.37192188
DMEWMA,4,0.3,100,10.82595692
DMEWMA,4,0.3,200,12.67007813
DMEWMA,4,0.3,500,15.05525333
DMEWMA,4,0.3,1000,16.7485847
DMEWMA,4,0.3,2000,18.40607401
DMEWMA,4,0.4,100,11.6228937
DMEWMA,4,0.4,200,13.42570313
DMEWMA,4,0.4,500,15.76583664
DMEWMA,4,0.4,1000,17.46431595
DMEWMA,4,0.4,2000,19.08836545
DMEWMA,4,0.5,100,12.93249748
DMEWMA,4,0.5,200,14.71
DMEWMA,4,0.5,500,17.15671738
DMEWMA,4,0.5,1000,18.9087664
DMEWMA,4,0.5,2000,20.63005912
DMEWMA,4,0.6,100,12.99403893
DMEWMA,4,0.6,200,14.78
DMEWMA,4,0.6,500,17.23836049
DMEWMA,4,0.6,1000,18.99874694
DMEWMA,4,0.6,2000,20.72823071
DMEWMA,4,0.7,100,13.02920548
DMEWMA,4,0.7,200,14.82
DMEWMA,4,0.7,500,17.2850137
DMEWMA,4,0.7,1000,19.05016438
DMEWMA,4,0.7,2000,20.78432877
DMEWMA,4,0.8,100,13.05558039
DMEWMA,4,0.8,200,14.85
DMEWMA,4,0.8,500,17.3200036
DMEWMA,4,0.8,1000,19.08872747
DMEWMA,4,0.8,2000,20.82640231
DMEWMA,4,0.9,100,13.07316366
DMEWMA,4,0.9,200,14.87
DMEWMA,4,0.9,500,17.34333021
DMEWMA,4,0.9,1000,19.11443619
DMEWMA,4,0.9,2000,20.85445133
DMEWMA,4,0.95,100,13.0819553
DMEWMA,4,0.95,200,14.88
DMEWMA,4,0.95,500,17.35499351
DMEWMA,4,0.95,1000,19.12729056
DMEWMA,4,0.95,2000,20.86847585
DMEWMA,5,0.05,100,11.55
DMEWMA,5,0.05,200,13.412
DMEWMA,5,0.05,500,15.92
DMEWMA,5,0.05,1000,17.792
DMEWMA,5,0.05,2000,19.623
DMEWMA,5,0.1,100,12.84
DMEWMA,5,0.1,200,14.736
DMEWMA,5,0.1,500,17.186
DMEWMA,5,0.1,1000,18.996
DMEWMA,5,0.1,2000,20.755
DMEWMA,5,0.2,100,13.982
DMEWMA,5,0.2,200,15.811
DMEWMA,5,0.2,500,18.154
DMEWMA,5,0.2,1000,19.878
DMEWMA,5,0.2,2000,21.56
DMEWMA,5,0.3,100,14.24614382
DMEWMA,5,0.3,200,16.2042
DMEWMA,5,0.3,500,18.89944797
DMEWMA,5,0.3,1000,20.82946516
DMEWMA,5,0.3,2000,22.7256019
DMEWMA,5,0.4,100,14.48457301
DMEWMA,5,0.4,200,16.4754
DMEWMA,5,0.4,500,19.21575673
DMEWMA,5,0.4,1000,21.17807546
DMEWMA,5,0.4,2000,23.10594671
DMEWMA,5,0.5,100,14.61372215
DMEWMA,5,0.5,200,16.6223
DMEWMA,5,0.5,500,19.38709063
DMEWMA,5,0.5,1000,21.36690603
DMEWMA,5,0.5,2000,23.31196681
DMEWMA,5,0.6,100,14.68326399
DMEWMA,5,0.6,200,16.7014
DMEWMA,5,0.6,500,19.47934735
DMEWMA,5,0.6,1000,21.46858404
DMEWMA,5,0.6,2000,23.42290071
DMEWMA,5,0.7,100,14.72300219
DMEWMA,5,0.7,200,16.7466
DMEWMA,5,0.7,500,19.53206548
DMEWMA,5,0.7,1000,21.52668575
DMEWMA,5,0.7,2000,23.48629151
DMEWMA,5,0.8,100,14.75280584
DMEWMA,5,0.8,200,16.7805
DMEWMA,5,0.8,500,19.57160407
DMEWMA,5,0.8,1000,21.57026204
DMEWMA,5,0.8,2000,23.53383461
DMEWMA,5,0.9,100,14.77267494
DMEWMA,5,0.9,200,16.8031
DMEWMA,5,0.9,500,19.59796314
DMEWMA,5,0.9,1000,21.5993129
DMEWMA,5,0.9,2000,23.56553001
DMEWMA,5,0.95,100,14.78260949
DMEWMA,5,0.95,200,16.8144
DMEWMA,5,0.95,500,19.61114267
DMEWMA,5,0.95,1000,21.61383833
DMEWMA,5,0.95,2000,23.58137771
DMEWMA,6,0.05,100,13.102
DMEWMA,6,0.05,200,14.6
DMEWMA,6,0.05,500,18.154
DMEWMA,6,0.05,1000,19.878
DMEWMA,6,0.05,2000,21.56
DMEWMA,6,0.1,100,14.459
DMEWMA,6,0.1,200,16.27
DMEWMA,6,0.1,500,18.999
DMEWMA,6,0.1,1000,20.867
DMEWMA,6,0.1,2000,22.678
DMEWMA,6,0.2,100,15.636
DMEWMA,6,0.2,200,17.51
DMEWMA,6,0.2,500,19.982
DMEWMA,6,0.2,1000,21.769
DMEWMA,6,0.2,2000,23.5
DMEWMA,6,0.3,100,16.08248772
DMEWMA,6,0.3,200,18.01
DMEWMA,6,0.3,500,20.55258824
DMEWMA,6,0.3,1000,22.39061622
DMEWMA,6,0.3,2000,24.17104512
DMEWMA,6,0.4,100,16.30573158
DMEWMA,6,0.4,200,18.26
DMEWMA,6,0.4,500,20.83788235
DMEWMA,6,0.4,1000,22.70142433
DMEWMA,6,0.4,2000,24.50656768
DMEWMA,6,0.5,100,16.42181839
DMEWMA,6,0.5,200,18.39
DMEWMA,6,0.5,500,20.98623529
DMEWMA,6,0.5,1000,22.86304455
DMEWMA,6,0.5,2000,24.68103941
DMEWMA,6,0.6,100,16.49325642
DMEWMA,6,0.6,200,18.47
DMEWMA,6,0.6,500,21.07752941
DMEWMA,6,0.6,1000,22.96250314
DMEWMA,6,0.6,2000,24.78840662
DMEWMA,6,0.7,100,16.52004569
DMEWMA,6,0.7,200,18.5
DMEWMA,6,0.7,500,21.11176471
DMEWMA,6,0.7,1000,22.99980011
DMEWMA,6,0.7,2000,24.82866933
DMEWMA,6,0.8,100,16.55576471
DMEWMA,6,0.8,200,18.54
DMEWMA,6,0.8,500,21.15741176
DMEWMA,6,0.8,1000,23.04952941
DMEWMA,6,0.8,2000,24.88235294
DMEWMA,6,0.9,100,16.57362421
DMEWMA,6,0.9,200,18.56
DMEWMA,6,0.9,500,21.18023529
DMEWMA,6,0.9,1000,23.07439406
DMEWMA,6,0.9,2000,24.90919475
DMEWMA,6,0.95,100,16.59148372
DMEWMA,6,0.95,200,18.58
DMEWMA,6,0.95,500,21.20305882
DMEWMA,6,0.95,1000,23.09925871
DMEWMA,6,0.95,2000,24.93603655
DMEWMA,7,0.05,100,14.628
DMEWMA,7,0.05,200,16.68
DMEWMA,7,0.05,500,19.409
DMEWMA,7,0.05,1000,21.425
DMEWMA,7,0.05,2000,23.378
DMEWMA,7,0.1,100,16.044
DMEWMA,7,0.1,200,18.114
DMEWMA,7,0.1,500,20.762
DMEWMA,7,0.1,1000,22.699
DMEWMA,7,0.1,2000,24.574
DMEWMA,7,0.2,100,17.26
DMEWMA,7,0.2,200,19.254
DMEWMA,7,0.2,500,21.776
DMEWMA,7,0.2,1000,23.613
DMEWMA,7,0.2,2000,25.412
DMEWMA,7,0.3,100,17.52991162
DMEWMA,7,0.3,200,19.6309
DMEWMA,7,0.3,500,22.40232118
DMEWMA,7,0.3,1000,24.40577168
DMEWMA,7,0.3,2000,26.34643918
DMEWMA,7,0.4,100,17.77324742
DMEWMA,7,0.4,200,19.9034
DMEWMA,7,0.4,500,22.71329176
DMEWMA,7,0.4,1000,24.74455252
DMEWMA,7,0.4,2000,26.71215877
DMEWMA,7,0.5,100,17.89978204
DMEWMA,7,0.5,200,20.0451
DMEWMA,7,0.5,500,22.87499647
DMEWMA,7,0.5,1000,24.92071856
DMEWMA,7,0.5,2000,26.90233295
DMEWMA,7,0.6,100,17.9776495
DMEWMA,7,0.6,200,20.1323
DMEWMA,7,0.6,500,22.97450706
DMEWMA,7,0.6,1000,25.02912842
DMEWMA,7,0.6,2000,27.01936322
DMEWMA,7,0.7,100,18.0068498
DMEWMA,7,0.7,200,20.165
DMEWMA,7,0.7,500,23.01182353
DMEWMA,7,0.7,1000,25.06978212
DMEWMA,7,0.7,2000,27.06324957
DMEWMA,7,0.8,100,18.04578353
DMEWMA,7,0.8,200,20.2086
DMEWMA,7,0.8,500,23.06157882
DMEWMA,7,0.8,1000,25.12398706
DMEWMA,7,0.8,2000,27.12176471
DMEWMA,7,0.9,100,18.06525039
DMEWMA,7,0.9,200,20.2304
DMEWMA,7,0.9,500,23.08645647
DMEWMA,7,0.9,1000,25.15108953
DMEWMA,7,0.9,2000,27.15102227
DMEWMA,7,0.95,100,18.08471726
DMEWMA,7,0.95,200,20.2522
DMEWMA,7,0.95,500,23.11133412
DMEWMA,7,0.95,1000,25.17819199
DMEWMA,7,0.95,2000,27.18027984
DMEWMA,8,0.05,100,16.103
DMEWMA,8,0.05,200,18.257
DMEWMA,8,0.05,500,21.075
DMEWMA,8,0.05,1000,23.163
DMEWMA,8,0.05,2000,25.186
DMEWMA,8,0.1,100,17.581
DMEWMA,8,0.1,200,19.74
DMEWMA,8,0.1,500,21.075
DMEWMA,8,0.1,1000,23.163
DMEWMA,8,0.1,2000,25.186
DMEWMA,8,0.2,100,18.852
DMEWMA,8,0.2,200,20.905
DMEWMA,8,0.2,500,23.515
DMEWMA,8,0.2,1000,25.416
DMEWMA,8,0.2,2000,27.252
DMEWMA,8,0.3,100,18.75700543
DMEWMA,8,0.3,200,21.005063
DMEWMA,8,0.3,500,23.97048366
DMEWMA,8,0.3,1000,26.1141757
DMEWMA,8,0.3,2000,28.19068992
DMEWMA,8,0.4,100,19.01737474
DMEWMA,8,0.4,200,21.296638
DMEWMA,8,0.4,500,24.30322219
DMEWMA,8,0.4,1000,26.47667119
DMEWMA,8,0.4,2000,28.58200988
DMEWMA,8,0.5,100,19.15276679
DMEWMA,8,0.5,200,21.448257
DMEWMA,8,0.5,500,24.47624622
DMEWMA,8,0.5,1000,26.66516885
DMEWMA,8,0.5,2000,28.78549626
DMEWMA,8,0.6,100,19.23608497
DMEWMA,8,0.6,200,21.541561
DMEWMA,8,0.6,500,24.58272255
DMEWMA,8,0.6,1000,26.78116741
DMEWMA,8,0.6,2000,28.91071865
DMEWMA,8,0.7,100,19.26732929
DMEWMA,8,0.7,200,21.57655
DMEWMA,8,0.7,500,24.62265118
DMEWMA,8,0.7,1000,26.82466687
DMEWMA,8,0.7,2000,28.95767704
DMEWMA,8,0.8,100,19.30898838
DMEWMA,8,0.8,200,21.623202
DMEWMA,8,0.8,500,24.67588934
DMEWMA,8,0.8,1000,26.88266615
DMEWMA,8,0.8,2000,29.02028824
DMEWMA,8,0.9,100,19.32981792
DMEWMA,8,0.9,200,21.646528
DMEWMA,8,0.9,500,24.70250842
DMEWMA,8,0.9,1000,26.91166579
DMEWMA,8,0.9,2000,29.05159383
DMEWMA,8,0.95,100,19.35064747
DMEWMA,8,0.95,200,21.669854
DMEWMA,8,0.95,500,24.72912751
DMEWMA,8,0.95,1000,26.94066543
DMEWMA,8,0.95,2000,29.08289943
DMEWMA,9,0.05,100,17.573
DMEWMA,9,0.05,200,19.792
DMEWMA,9,0.05,500,22.712
DMEWMA,9,0.05,1000,24.849
DMEWMA,9,0.05,2000,26.927
DMEWMA,9,0.1,100,19.095
DMEWMA,9,0.1,200,21.317
DMEWMA,9,0.1,500,24.142
DMEWMA,9,0.1,1000,26.196
DMEWMA,9,0.1,2000,28.172
DMEWMA,9,0.2,100,20.394
DMEWMA,9,0.2,200,22.518
DMEWMA,9,0.2,500,25.208
DMEWMA,9,0.2,1000,27.154
DMEWMA,9,0.2,2000,29.04
DMEWMA,9,0.3,100,20.25756586
DMEWMA,9,0.3,200,22.68546804
DMEWMA,9,0.3,500,25.88812235
DMEWMA,9,0.3,1000,28.20330975
DMEWMA,9,0.3,2000,30.44594511
DMEWMA,9,0.4,100,20.53876472
DMEWMA,9,0.4,200,23.00036904
DMEWMA,9,0.4,500,26.24747996
DMEWMA,9,0.4,1000,28.59480489
DMEWMA,9,0.4,2000,30.86857067
DMEWMA,9,0.5,100,20.68498813
DMEWMA,9,0.5,200,23.16411756
DMEWMA,9,0.5,500,26.43434592
DMEWMA,9,0.5,1000,28.79838236
DMEWMA,9,0.5,2000,31.08833596
DMEWMA,9,0.6,100,20.77497177
DMEWMA,9,0.6,200,23.26488588
DMEWMA,9,0.6,500,26.54934036
DMEWMA,9,0.6,1000,28.92366081
DMEWMA,9,0.6,2000,31.22357614
DMEWMA,9,0.7,100,20.80871563
DMEWMA,9,0.7,200,23.302674
DMEWMA,9,0.7,500,26.59246327
DMEWMA,9,0.7,1000,28.97064022
DMEWMA,9,0.7,2000,31.27429121
DMEWMA,9,0.8,100,20.85370745
DMEWMA,9,0.8,200,23.35305816
DMEWMA,9,0.8,500,26.64996049
DMEWMA,9,0.8,1000,29.03327945
DMEWMA,9,0.8,2000,31.34191129
DMEWMA,9,0.9,100,20.87620336
DMEWMA,9,0.9,200,23.37825024
DMEWMA,9,0.9,500,26.6787091
DMEWMA,9,0.9,1000,29.06459906
DMEWMA,9,0.9,2000,31.37572134
DMEWMA,9,0.95,100,20.89869926
DMEWMA,9,0.95,200,23.40344232
DMEWMA,9,0.95,500,26.70745771
DMEWMA,9,0.95,1000,29.09591867
DMEWMA,9,0.95,2000,31.40953138
DMEWMA,10,0.05,100,19.032
DMEWMA,10,0.05,200,20.72
DMEWMA,10,0.05,500,24.363
DMEWMA,10,0.05,1000,26.565
DMEWMA,10,0.05,2000,28.696
DMEWMA,10,0.1,100,20.621
DMEWMA,10,0.1,200,22.67
DMEWMA,10,0.1,500,25.831
DMEWMA,10,0.1,1000,27.945
DMEWMA,10,0.1,2000,29.973
DMEWMA,10,0.2,100,21.966
DMEWMA,10,0.2,200,24.07
DMEWMA,10,0.2,500,26.924
DMEWMA,10,0.2,1000,28.915
DMEWMA,10,0.2,2000,30.87
DMEWMA,10,0.3,100,22.46792356
DMEWMA,10,0.3,200,24.62
DMEWMA,10,0.3,500,27.53921396
DMEWMA,10,0.3,1000,29.57570835
DMEWMA,10,0.3,2000,31.57538014
DMEWMA,10,0.4,100,22.71432239
DMEWMA,10,0.4,200,24.89
DMEWMA,10,0.4,500,27.84122808
DMEWMA,10,0.4,1000,29.90005609
DMEWMA,10,0.4,2000,31.92165767
DMEWMA,10,0.5,100,22.84208475
DMEWMA,10,0.5,200,25.03
DMEWMA,10,0.5,500,27.997828
DMEWMA,10,0.5,1000,30.06823639
DMEWMA,10,0.5,2000,32.10120897
DMEWMA,10,0.6,100,22.91509182
DMEWMA,10,0.6,200,25.11
DMEWMA,10,0.6,500,28.08731367
DMEWMA,10,0.6,1000,30.16433943
DMEWMA,10,0.6,2000,32.20380972
DMEWMA,10,0.7,100,22.94246946
DMEWMA,10,0.7,200,25.14
DMEWMA,10,0.7,500,28.12087079
DMEWMA,10,0.7,1000,30.20037806
DMEWMA,10,0.7,2000,32.242285
DMEWMA,10,0.8,100,22.96984711
DMEWMA,10,0.8,200,25.17
DMEWMA,10,0.8,500,28.15442792
DMEWMA,10,0.8,1000,30.2364167
DMEWMA,10,0.8,2000,32.28076028
DMEWMA,10,0.9,100,22.98809888
DMEWMA,10,0.9,200,25.19
DMEWMA,10,0.9,500,28.17679934
DMEWMA,10,0.9,1000,30.26044246
DMEWMA,10,0.9,2000,32.30641047
DMEWMA,10,0.95,100,22.99722476
DMEWMA,10,0.95,200,25.2
DMEWMA,10,0.95,500,28.18798504
DMEWMA,10,0.95,1000,30.27245534
DMEWMA,10,0.95,2000,32.31923556
DMEWMA,15,0.05,100,25.844
DMEWMA,15,0.05,200,27.82
DMEWMA,15,0.05,500,31.887
DMEWMA,15,0.05,1000,34.351
DMEWMA,15,0.05,2000,36.72
DMEWMA,15,0.1,100,27.653
DMEWMA,15,0.1,200,30.03
DMEWMA,15,0.1,500,33.518
DMEWMA,15,0.1,1000,35.86
DMEWMA,15,0.1,2000,38.109
DMEWMA,15,0.2,100,29.161
DMEWMA,15,0.2,200,31.59
DMEWMA,15,0.2,500,34.693
DMEWMA,15,0.2,1000,36.911
DMEWMA,15,0.2,2000,39.047
DMEWMA,15,0.3,100,29.20830062
DMEWMA,15,0.3,200,32.19
DMEWMA,15,0.3,500,35.80097815
DMEWMA,15,0.3,1000,38.44842086
DMEWMA,15,0.3,2000,41.04799418
DMEWMA,15,0.4,100,29.52861911
DMEWMA,15,0.4,200,32.48
DMEWMA,15,0.4,500,36.19359651
DMEWMA,15,0.4,1000,38.87007291
DMEWMA,15,0.4,2000,41.49815496
DMEWMA,15,0.5,100,29.69471018
DMEWMA,15,0.5,200,32.63
DMEWMA,15,0.5,500,36.3971764
DMEWMA,15,0.5,1000,39.08870731
DMEWMA,15,0.5,2000,41.73157167
DMEWMA,15,0.6,100,29.78961936
DMEWMA,15,0.6,200,32.71
DMEWMA,15,0.6,500,36.51350777
DMEWMA,15,0.6,1000,39.21364125
DMEWMA,15,0.6,2000,41.86495264
DMEWMA,15,0.7,100,29.8252103
DMEWMA,15,0.7,200,32.75
DMEWMA,15,0.7,500,36.55713203
DMEWMA,15,0.7,1000,39.26049148
DMEWMA,15,0.7,2000,41.9149705
DMEWMA,15,0.8,100,29.86080125
DMEWMA,15,0.8,200,32.79
DMEWMA,15,0.8,500,36.60075629
DMEWMA,15,0.8,1000,39.30734171
DMEWMA,15,0.8,2000,41.96498837
DMEWMA,15,0.9,100,29.88452854
DMEWMA,15,0.9,200,32.83
DMEWMA,15,0.9,500,36.62983914
DMEWMA,15,0.9,1000,39.3385752
DMEWMA,15,0.9,2000,41.99833361
DMEWMA,15,0.95,100,29.89639219
DMEWMA,15,0.95,200,32.85
DMEWMA,15,0.95,500,36.64438056
DMEWMA,15,0.95,1000,39.35419194
DMEWMA,15,0.95,2000,42.01500623
DMEWMA,20,0.05,100,32.39
DMEWMA,20,0.05,200,35.293
DMEWMA,20,0.05,500,39.031
DMEWMA,20,0.05,1000,41.724
DMEWMA,20,0.05,2000,44.297
DMEWMA,20,0.1,100,34.378
DMEWMA,20,0.1,200,37.235
DMEWMA,20,0.1,500,40.806
DMEWMA,20,0.1,1000,43.36
DMEWMA,20,0.1,2000,45.778
DMEWMA,20,0.2,100,36.017
DMEWMA,20,0.2,200,38.727
DMEWMA,20,0.2,500,42.086
DMEWMA,20,0.2,1000,44.483
DMEWMA,20,0.2,2000,46.785
DMEWMA,20,0.3,100,35.63412676
DMEWMA,20,0.3,200,39.2718
DMEWMA,20,0.3,500,43.67719334
DMEWMA,20,0.3,1000,46.90707344
DMEWMA,20,0.3,2000,50.0785529
DMEWMA,20,0.4,100,36.02491532
DMEWMA,20,0.4,200,39.6256
DMEWMA,20,0.4,500,44.15618774
DMEWMA,20,0.4,1000,47.42148895
DMEWMA,20,0.4,2000,50.62774906
DMEWMA,20,0.5,100,36.22754642
DMEWMA,20,0.5,200,39.8086
DMEWMA,20,0.5,500,44.40455521
DMEWMA,20,0.5,1000,47.68822292
DMEWMA,20,0.5,2000,50.91251743
DMEWMA,20,0.6,100,36.34333562
DMEWMA,20,0.6,200,39.9062
DMEWMA,20,0.6,500,44.54647948
DMEWMA,20,0.6,1000,47.84064233
DMEWMA,20,0.6,2000,51.07524222
DMEWMA,20,0.7,100,36.38675657
DMEWMA,20,0.7,200,39.955
DMEWMA,20,0.7,500,44.59970108
DMEWMA,20,0.7,1000,47.89779961
DMEWMA,20,0.7,2000,51.13626401
DMEWMA,20,0.8,100,36.43017752
DMEWMA,20,0.8,200,40.0038
DMEWMA,20,0.8,500,44.65292268
DMEWMA,20,0.8,1000,47.95495689
DMEWMA,20,0.8,2000,51.19728581
DMEWMA,20,0.9,100,36.45912482
DMEWMA,20,0.9,200,40.0526
DMEWMA,20,0.9,500,44.68840375
DMEWMA,20,0.9,1000,47.99306174
DMEWMA,20,0.9,2000,51.237967
DMEWMA,20,0.95,100,36.47359847
DMEWMA,20,0.95,200,40.077
DMEWMA,20,0.95,500,44.70614428
DMEWMA,20,0.95,1000,48.01211417
DMEWMA,20,0.95,2000,51.2583076
DMEWMA,25,0.05,100,39.5158
DMEWMA,25,0.05,200,43.05746
DMEWMA,25,0.05,500,47.61782
DMEWMA,25,0.05,1000,50.90328
DMEWMA,25,0.05,2000,54.04234
DMEWMA,25,0.1,100,41.94116
DMEWMA,25,0.1,200,45.4267
DMEWMA,25,0.1,500,49.78332
DMEWMA,25,0.1,1000,52.8992
DMEWMA,25,0.1,2000,55.84916
DMEWMA,25,0.2,100,43.94074
DMEWMA,25,0.2,200,47.24694
DMEWMA,25,0.2,500,51.34492
DMEWMA,25,0.2,1000,54.26926
DMEWMA,25,0.2,2000,57.0777
DMEWMA,25,0.3,100,43.47363465
DMEWMA,25,0.3,200,47.911596
DMEWMA,25,0.3,500,53.28617587
DMEWMA,25,0.3,1000,57.2266296
DMEWMA,25,0.3,2000,61.09583454
DMEWMA,25,0.4,100,43.95039668
DMEWMA,25,0.4,200,48.343232
DMEWMA,25,0.4,500,53.87054905
DMEWMA,25,0.4,1000,57.85421652
DMEWMA,25,0.4,2000,61.76585385
DMEWMA,25,0.5,100,44.19760663
DMEWMA,25,0.5,200,48.566492
DMEWMA,25,0.5,500,54.17355736
DMEWMA,25,0.5,1000,58.17963196
DMEWMA,25,0.5,2000,62.11327127
DMEWMA,25,0.6,100,44.33886946
DMEWMA,25,0.6,200,48.685564
DMEWMA,25,0.6,500,54.34670496
DMEWMA,25,0.6,1000,58.36558364
DMEWMA,25,0.6,2000,62.31179551
DMEWMA,25,0.7,100,44.39184302
DMEWMA,25,0.7,200,48.7451
DMEWMA,25,0.7,500,54.41163532
DMEWMA,25,0.7,1000,58.43531552
DMEWMA,25,0.7,2000,62.3862421
DMEWMA,25,0.8,100,44.44481658
DMEWMA,25,0.8,200,48.804636
DMEWMA,25,0.8,500,54.47656567
DMEWMA,25,0.8,1000,58.5050474
DMEWMA,25,0.8,2000,62.46068869
DMEWMA,25,0.9,100,44.48013228
DMEWMA,25,0.9,200,48.864172
DMEWMA,25,0.9,500,54.51985257
